merchant_name,mcc,address,geo_coordinates,org_name,org_description,website,source_url
"PELMENYA,RESTAURANT PELMENYA","5812,5814",,,Пельмения,Пельмени народов мира и не только Более 30 видов пельменей со всего света.,https://pelmenya-irk.ru/,https://merchantpoint.ru/brand/4385
"COURTYARD IRKUTSK CITY,Courtyard Irkutsk City",7011,"г Иркутск, ул Чкалова, д 15",,IRKUTSK CITY CENTER,"Гостиница Irkutsk City Center расположена в историческом центре Иркутска, откуда удобно добираться до основных достопримечательностей и ресторанов. г. Иркутск, ул. Чкалова, 15",https://eastlandhotels.com/,https://merchantpoint.ru/brand/4386
"AMI CHAISE,AMI CHAISE LLC,AmiChaisecafe",5812,,,Ресторан Ami Chaise,"Ресторан Ami Chaise предлагает своим гостям разнообразное меню, в котором можно найти как традиционные блюда, так и авторские шедевры от шеф-повара.",https://amichaise.ru/,https://merchantpoint.ru/brand/4387
IRISH PUB Co,5812,"г Москва, ул Бутырский Вал, д 2",,Paddy's Irish Pub,"Паб расположен недалеко от метро. Здесь можно посмотреть спортивные трансляции и послушать ирландскую музыку. В меню представлены различные сорта пива, включая «Гиннесс», а также сидр, виски и другие напитки. Москва, ул. Бутырский Вал, 2",https://yandex.ru/maps/org/paddy_s_irish_pub/1004000086/?indoorLevel=1&ll=37.583604%2C55.777031&z=17,https://merchantpoint.ru/brand/4388
OOO ADAZHIO,5812,"г Москва, ул Нижняя Масловка, д 15 стр 3",,Жар-Птица,"Баня «Жар-Птица» — это современный банный комплекс, где есть залы для мужчин и женщин, общая SPA-зона и множество отдельных банных кабинетов. Каждый час здесь готовят новый пар с разными ароматами, используя натуральные травы и продукты. Москва, ул. Нижняя Масловка, 15, стр. 3",https://jarpticabani.ru/,https://merchantpoint.ru/brand/4389
"IP TARASENKO V.V.,TIHONOV D. S. (IP)",5571,"г Москва, ул Сергея Эйзенштейна, д 1",,Мистер Мото Экипировка,"Мистер Мото - сеть мотосалонов и интернет-магазин мотоциклов, мотоэкипировки, мотозапчастей и аксессуаров. У нас есть все для езды на двух колесах. ул. Сергея Эйзенштейна, 1, Москва",https://mr-moto.ru/,https://merchantpoint.ru/brand/4390
"CHAYKHONA VADUD,CHAYKHONA_VADUD,Chaykhona Vadud,Chaykhona_Vadud",5812,"Респ Татарстан, г Нижнекамск, пр-кт Мира, зд 61Г",,Чайхона Вадуд,"«Чайхона Вадуд» — это кафе, оформленное в восточном стиле, где можно попробовать блюда узбекской, итальянской, азиатской и русской кухни. Нижнекамск, просп. Мира, 61Г",https://yandex.ru/maps/org/chaykhona_vadud/182301792920/?ll=51.808714%2C55.645478&z=15,https://merchantpoint.ru/brand/4391
BRASSERIE STOUT,5812,"г Москва, ул Василисы Кожиной, д 13",,Brasserie Stout Lounge,"Кальян-бар Brasserie Stout Lounge — это место, где вы можете насладиться разнообразным выбором пива, а также вкусной едой, такой как бургеры, баклажаны в воке и бельгийские вафли с лососем. Москва, ул. Василисы Кожиной, 13",https://yandex.ru/maps/org/brasserie_stout_lounge/100608855093/?ll=37.498633%2C55.735924&z=14,https://merchantpoint.ru/brand/4392
"BASHNYA SVYATYKH VOROT,BASHNYA SVYATYKH VOROT 3",7991,"г Псков, ул Кремль, д 6",,Бюро путешествий «Соцтурпроф»,"Бюро путешествий и экскурсий «Соцтурпроф» является одной из ведущих турфирм Пскова и предлагает вашему вниманию экскурсии по достопримечательностям Пскова и Псковской области Псков, Кремль, д. 6",https://psktour.ru,https://merchantpoint.ru/brand/4393
KASSA 1 KREPOST,7991,"Псковская обл, Печорский р-н, деревня Изборск",,Музей-заповедник «Изборск»,Государственный историко-архитектурный и природный музей-заповедник «Изборск»,https://museum-izborsk.ru/,https://merchantpoint.ru/brand/4394
OOO STROJGARANT,7297,,,Вай Тай,"«Вай Тай» — это сеть СПА премиум класса, включающая в себя более 60 салонов по России. В каждом салоне воссоздан неповторимый уголок Таиланда, учтены малейшие тонкости, чтобы вы смогли погрузиться в незабываемую атмосферу, отдохнуть и восстановить силы, выбрав для себя разнообразные спа-уходы или тайский массаж.",https://marino.waithaispa.ru/,https://merchantpoint.ru/brand/4395
,,,,Метр квадратный,"«Метр квадратный» — инновационная IT-компания на пересечении рынка недвижимости и финансовых технологий. Мы разрабатываем цифровые сервисы, которые упрощают поиск и проверку недвижимости перед покупкой, минимизируют риски на всех этапах сделки и позволяют оформить право собственности без лишних визитов в госучреждения. Вся экосистема М2 ориентирована на удобство пользователей и востребована на рынке. Наши преимущества Команда М2 занимается разработкой и внедрением программных решений, лежащих в основе наших цифровых продуктов. Благодаря SaaS-модели мы обеспечиваем клиентам стабильную работу сервисов, поддерживаем IT-инфраструктуру и гарантируем безопасный удаленный доступ к нашим программным решениям, защищая все обрабатываемые данные.",https://m2.ru,https://merchantpoint.ru/brand/5027
"Y.M*OSAGO.SOGLASIE,Y.M*PAY.SOGLASIE,Y.M*SOGLASIE,Y.M*SOGLASIE-VITA,Y.M*soglasie-vita",6300,Онлайн,,«СК «Согласие»,"Страховая компания «Согласие» – проверенная защита для вас и вашего бизнеса «Согласие» – одна из ведущих страховых компаний России с многолетней историей и высокой репутацией. Клиенты ценят ее за стабильность, широкий выбор страховых продуктов и качественный сервис. Почему стоит рассмотреть «Согласие»? Надежность – компания работает на рынке более 30 лет, имеет лицензию ЦБ РФ и положительные отзывы клиентов. Разнообразие программ – здесь можно оформить ОСАГО, КАСКО, страхование имущества, здоровья, туристических поездок и даже бизнес-рисков. Быстрые выплаты – прозрачные условия и оперативное урегулирование убытков. Удобство – полисы можно оформить онлайн, а поддержка работает круглосуточно. Кому подойдет? Автовладельцам – выгодные тарифы на ОСАГО и КАСКО. Путешественникам – надежная страховка для поездок за границу. Владельцам недвижимости – защита дома или квартиры от непредвиденных ситуаций. Бизнесу – комплексные программы страхования коммерческих рисков. Вывод: Если нужен проверенный страховщик с широким выбором услуг и качественным обслуживанием, «Согласие» – достойный вариант.",https://soglasie.ru,https://merchantpoint.ru/brand/5028
"CHIBOS,MA0002729212,MA0003232064",5814,,,Chibos,"Кофейня Chibos — это уютное место, где можно насладиться ароматным кофе и вкусными десертами. https://vk.com/coffee_chibos Советская ул., 108, Сызрань",,https://merchantpoint.ru/brand/5033
,,,,Зоомагазин Любимчик,Любимчик: сеть зоомагазинов и интернет-магазин.,https://lubimchik.ru/,https://merchantpoint.ru/brand/5034
BEREZKA,5411,,,Магазин Березка,"""Березка"" - региональная розничная торговая сеть, которая начала работать с 2008 год, одна из крупнейших организаций по всей Коми. Торговая сеть насчитывает 19 магазинов, основной формат - супермаркет. Сеть ""Березка"" располагается во многих регионах республики Ухта, Вуктыл, Сосногорск, Водный и Чиньяворык. Сайта нет, страница в контакте.",https://vk.com/berezkatc?ysclid=m4jv11dmv27151997,https://merchantpoint.ru/brand/4370
MAGAZIN SOM,5200,,,Магазин СОМ,"Сеть магазинов строительных отделочных материалов ""СОМ"" Магазины сети строительных и отделочных материалов ""СОМ"" расположены в Свердловской области в следующих городах: Нижний Тагил, Невьянск, Каменск-Уральский, Красноуфимск, Полевской, Нижняя Тура, Первоуральск, Новоуральск, Ревда, Верхняя Салда, Богданович, Заречный, Качканар, Сухой Лог. В Тюменской области: Тобольск. В Ростовской области - г. Таганрог, г. Шахты. В Ставропольском крае: г. Невинномысск, г. Пятигорск. В Курганской области: г. Шадринск. В Краснодарском крае: г. Ейск. Волгоградская область — г. Михайловка. Магазин ""СОМ"" также открыт в Ханты-Мансийском автономном округе, в городе Нижневартовск, Нягань, Ханты-Мансийск, Нефтеюганск, г. Урай, г. Югорск.",https://som1.ru/,https://merchantpoint.ru/brand/4371
